"eventname","timestamp","type","value"
"ThreatIngestor Event: Twitter-Asyncrat","28/11/2020 07:30:18","sha256","203d3fa9bf0e381fe7313d08c55430d64c65870ab975cf270778d2fcbfd2eb83"
"ThreatIngestor Event: Twitter-Qbot","28/11/2020 08:00:08","sha256","72239e1800fc5eb1906c904f9477f43e67fcf9b7e3f71b933440bc79ba0c4e13"
"ThreatIngestor Event: Twitter-Njrat","28/11/2020 13:30:08","sha256","eec6e8ad89c072c30429bfce761a84a117a1e1231bdf78f919c8a50d35839b0f"
"ThreatIngestor Event: Twitter-Njrat","28/11/2020 17:30:08","sha256","82a32a98af5383c0fd64501c5d12b67cdf273e34ead331cf90727e040e8e0a13"
"ThreatIngestor Event: Twitter-Njrat","28/11/2020 18:45:09","sha256","8b939f780d209e790d6be4fa5af68b2dd357773e95f612cd5fb5bd12ad68260d"
"ThreatIngestor Event: Twitter-Njrat","28/11/2020 22:45:09","sha256","de693735a5bb6a4d26e4aaf2fad7d0be3e34e114e76ecb65f4a94bfc212c5d5e"
"ThreatIngestor Event: Twitter-Njrat","28/11/2020 23:45:09","sha256","8114c722429b0bb5d03541632ac2665a7b1e7b27b015967a3cb190df71306b9a"
"ThreatIngestor Event: Twitter-Njrat","29/11/2020 22:15:09","sha256","5ae5300c86e4471e8e3e9a0a9b08a0e02f491bede831d6378813e0a0ff21b0fe"
"ThreatIngestor Event: Twitter-Njrat","29/11/2020 22:45:08","sha256","3b4dffe14c52cb879f4b6863d8a8cffcea4bdecf1d43f01a4326398348bf1186"
"ThreatIngestor Event: Twitter-Njrat","30/11/2020 01:45:08","sha256","c48971efb54ed6359bcfbd4920aebec7dabe144dde9bfadab5a119a7a78110bc"
"ThreatIngestor Event: Twitter-Njrat","30/11/2020 03:00:08","sha256","18e51eead5fa8a227a522cb4fa1467b979ec659d59911c96f1603a2620f9f3f5"
"ThreatIngestor Event: Twitter-Njrat","30/11/2020 03:45:09","sha256","db4182b5f5373acf41f869aeb5409e074fc78d673e2ed1bbb27788c639ff1817"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:00:09","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:00:09","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:00:09","sha256","12e858bb6b8b20d96563324b69e77e03dfe3255332dbb32e79d94f7863bb0f8b"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:15:11","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:15:11","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:15:11","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:15:11","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:45:09","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:45:09","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:45:09","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 07:45:09","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 08:15:10","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 08:15:10","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Dridex","30/11/2020 08:30:10","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","30/11/2020 08:30:10","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 10:00:10","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 10:00:10","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 11:15:10","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","30/11/2020 11:15:10","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Njrat","30/11/2020 14:30:09","sha256","db4182b5f5373acf41f869aeb5409e074fc78d673e2ed1bbb27788c639ff1817"
"ThreatIngestor Event: Twitter-Njrat","30/11/2020 16:00:08","sha256","d344ada97742b49ed37fa6c43ede573569e5ae3a121944208ebf24f6eb0d358f"
"ThreatIngestor Event: Twitter-Njrat","30/11/2020 22:00:09","sha256","1253331034363bc37bfe3c9b2664ef9ed65dc8422a25e70cba57e03a83e0d3e9"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 00:15:08","sha256","8b939f780d209e790d6be4fa5af68b2dd357773e95f612cd5fb5bd12ad68260d"
"ThreatIngestor Event: Twitter-Ursnif","01/12/2020 00:15:10","sha256","0572d7448049782155ab8dc044799db126fa3db3126a1a4b5b69d8bd37d8a4cb"
"ThreatIngestor Event: Twitter-Ursnif","01/12/2020 00:15:10","sha256","12f1ea509d52a9695408a73bcf71ddd24f8a4faee2a99798a63b22ce2fbf73dc"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 00:45:08","sha256","8114c722429b0bb5d03541632ac2665a7b1e7b27b015967a3cb190df71306b9a"
